id,unit,order,speaker,setswana,english
a1-u01-d1-l01,1,1,Rra Molefe,"Dumela, mma.","Hello, madam."
a1-u01-d1-l02,1,2,Mma Kagiso,"Dumela, rra.","Hello, sir."
a1-u01-d1-l03,1,3,Rra Molefe,O tsogile jang?,How did you wake up?
a1-u01-d1-l04,1,4,Mma Kagiso,Ke tsogile sentle. O kae?,I woke up well. How are you?
a1-u01-d1-l05,1,5,Rra Molefe,"Ke teng, ke a leboga.","I'm fine, thank you."
a1-u01-d1-l06,1,6,Mma Kagiso,Go siame. Tsamaya sentle!,Ok then. Go well!
a1-u01-d1-l07,1,7,Rra Molefe,Sala sentle!,Stay well!
a1-u02-d1-l01,2,1,Rra Tau,"Dumela, mma. O tsogile jang?","Hello, madam. How did you wake up?"
a1-u02-d1-l02,2,2,Neo,"Ke tsogile sentle, ke a leboga. Wena?","I woke up well, thank you. And you?"
a1-u02-d1-l03,2,3,Rra Tau,Ke teng. Leina la me ke Tau. Leina la gago ke mang?,I'm fine. My name is Tau. What is your name?
a1-u02-d1-l04,2,4,Neo,Leina la me ke Neo. O tswa kae rra?,My name is Neo. Where are you from sir?
a1-u02-d1-l05,2,5,Rra Tau,Ke tswa kwa Molepolole. Wena o tswa kae?,I come from Molepolole. Where are you from?
a1-u02-d1-l06,2,6,Neo,Ke tswa kwa Gaborone. O bua eng?,I come from Gaborone. What do you speak?
a1-u02-d1-l07,2,7,Rra Tau,Ke bua Setswana le Sekgoa.,I speak Setswana and English.
a1-u02-d1-l08,2,8,Neo,Ke bua Sekgoa fela. Ga ke tlhaloganye Setswana. Bua ka bonya tswee-tswee.,"I speak English only. I don't understand Setswana. Speak slowly, please."
a1-u02-d1-l09,2,9,Rra Tau,Go siame. Tsamaya sentle mma!,Ok then. Go well madam!
a1-u02-d1-l10,2,10,Neo,Sala sentle rra!,Stay well sir!
a1-u03-d1-l01,3,1,Bontle,"Dumela, Lesedi. O tsogile jang?","Hello, Lesedi. How did you wake up?"
a1-u03-d1-l02,3,2,Lesedi,"Ke tsogile sentle, ke a leboga. Leba! Yo ke lelapa la me.","I woke up well, thank you. Look! This is my family."
a1-u03-d1-l03,3,3,Bontle,Aa! Yo ke mmago?,Ooh! Is this your mother?
a1-u03-d1-l04,3,4,Lesedi,Ee yo ke mme.,"Yes, this is my mother."
a1-u03-d1-l05,3,5,Lesedi,Yo ke rre. Yo ke kgaitsadi wa me.,This is my father. This is my sister.
a1-u03-d1-l06,3,6,Bontle,Mosetsana yo ke ngwana wa gago?,Is this girl your child?
a1-u03-d1-l07,3,7,Lesedi,Ee ke ngwana wa me. Bana ba me ke mosetsana le mosimane.,"Yes, she is my child. My children are a girl and a boy."
a1-u03-d1-l08,3,8,Bontle,Leina la mosimane ke mang?,What is the boy's name?
a1-u03-d1-l09,3,9,Lesedi,Leina la gagwe ke Thabo.,His name is Thabo.
a1-u03-d1-l10,3,10,Bontle,Go siame. Tsamaya sentle Lesedi!,Ok then. Go well Lesedi!
a1-u03-d1-l11,3,11,Lesedi,Sala sentle!,Stay well!
a1-u04-d1-l01,4,1,Mma Kefilwe,Dumela rra. O batla eng?,Hello sir. What do you want?
a1-u04-d1-l02,4,2,Tumelo,"Dumela, mma. Ke lapile. Ke batla nama le bogobe.","Hello, madam. I'm hungry. I want meat and porridge."
a1-u04-d1-l03,4,3,Mma Kefilwe,Borotho kgotsa bogobe?,Bread or porridge?
a1-u04-d1-l04,4,4,Tumelo,Bogobe ke a leboga.,Porridge thank you.
a1-u04-d1-l05,4,5,Mma Kefilwe,O nwa eng? Tee kgotsa kofi?,What do you drink? Tea or coffee?
a1-u04-d1-l06,4,6,Tumelo,Ga ke nwe tee kgotsa kofi. Metsi tswee-tswee.,"I don't drink tea or coffee. Water, please."
a1-u04-d1-l07,4,7,Mma Kefilwe,A o ja morogo?,Do you eat morogo?
a1-u04-d1-l08,4,8,Tumelo,Ee ke batla morogo.,Yes I want morogo.
a1-u04-d1-l09,4,9,Mma Kefilwe,A o batla maungo?,Do you want fruit?
a1-u04-d1-l10,4,10,Tumelo,Ga ke batle maungo ke a leboga.,"I don't want fruit, thank you."
a1-u04-d1-l11,4,11,Mma Kefilwe,Go siame.,Ok then.
