unit,title_setswana,title_english,can_do,grammar_title
1,Dumela,Greetings,"Greet politely, say how you are, say goodbye",Singular vs plural address and farewells
2,Ke nna…,Introductions,"Say your name, where you're from, and what you speak",Subject concords and emphatic pronouns
3,Lelapa,Family,"Introduce your family",Class 1/2 plurals (mo-/ba- and bo-) and possessives
4,Ke batla…,What I want,"Say what you want and what you don't",Negation ga ke … with final -a → -e
5,Ke bokae?,How much?,"Count, give your age, and ask prices",Quantity pattern di le with class 10 nouns
6,Ke eng?,What is it?,"Name things at home and ask what something is",Class plurals se-/di- and le-/ma-
7,O ya kae?,Where are you going?,"Ask for and give simple directions",Locative -ng after kwa/mo
8,Letsatsi la me,My day,"Describe your day and week",ka + time expressions
9,Go a tsididi,It is cold,"Talk about weather, feelings, and simple aches",Impersonal go (go a fisa, go na le …)
10,Maabane le ka moso,Yesterday and tomorrow,"Say what you did and what you will do",Past -ile with common irregulars
